City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,sao paulo de olivenca,-3.3783,-68.8725,23.09,98,100,0.74,BR,1701656727
274,margate,51.3813,1.3862,6.84,72,100,5.36,GB,1701656727
275,kideksha,56.4167,40.5167,-5.76,95,100,2.8,RU,1701656727
276,bodo,67.28,14.405,-6.98,80,0,6.69,NO,1701656727
277,cannonvale,-20.2833,148.7,29.66,62,8,4.23,AU,1701656728
278,sao jose da coroa grande,-8.8978,-35.1478,25.64,88,12,4.37,BR,1701656728
279,la passe,45.5549,-0.8967,6.13,85,100,9.76,FR,1701656728
280,sitka,57.0531,-135.33,6.94,76,100,6.69,US,1701656568
281,barah,13.7,30.3667,21.27,28,10,3.94,SD,1701656728
282,reggane,26.7158,0.1714,17.06,32,0,5.31,DZ,1701656729
283,villa dolores,-31.9459,-65.1896,15.77,55,100,2.39,AR,1701656729
284,selfoss,63.9331,-20.9971,-2.4,59,100,3.4,IS,1701656729
285,aljezur,37.3191,-8.8033,16.03,79,100,6.06,PT,1701656729
286,annau,37.8876,58.516,5.72,75,0,1.03,TM,1701656729
287,santa isabel,-23.3156,-46.2214,23.61,73,58,0.59,BR,1701656729
288,solleftea,63.1667,17.2667,-13.08,98,99,1.4,SE,1701656730
289,prince george,53.9166,-122.753,0.7,91,20,6.17,CA,1701656730
290,kas,36.2018,29.6377,17.04,81,40,3.17,TR,1701656730
291,constantia,44.1833,28.65,1.5,74,100,6.46,RO,1701656730
292,champerico,14.3,-91.9167,27.4,74,6,0.89,GT,1701656730
293,mont-dore,-22.2833,166.5833,33.99,58,52,3.58,NC,1701656730
294,ventspils,57.3894,21.5606,-4.04,100,40,1.03,LV,1701656731
295,puerto cabezas,14.0351,-83.3888,25.5,92,86,3.56,NI,1701656625
296,vorgashor,67.5833,63.95,-27.09,97,98,1.91,RU,1701656731
297,waynesville,35.4887,-82.9887,10.92,78,89,0.89,US,1701656731
298,chornobay,49.6708,32.3239,-1.79,70,100,5.73,UA,1701656731
299,sungai penuh,-2.0833,101.3833,20.18,88,100,0.64,ID,1701656732
300,sabha,27.0377,14.4283,14.12,38,40,4.08,LY,1701656732
301,tosontsengel,48.7567,98.2839,-12.02,84,100,1.1,MN,1701656732
302,kanor,24.4333,74.2667,18.2,94,7,3.36,IN,1701656733
